County,Month Filter,Latitude (generated),Longitude (generated),Sales
Polk,1/1/2019,44.8981,-123.4282,529229.71
Columbia,1/1/2019,45.9577,-123.0865,635935.54
Curry,1/1/2019,42.4773,-124.2135,687662.64
Josephine,1/1/2019,42.3912,-123.6336,704376.98
Umatilla,1/1/2019,45.5072,-118.6314,782609.91
Clatsop,1/1/2019,46.0053,-123.6441,849210.72
Douglas,1/1/2019,43.324,-122.8891,867891.66
Benton,1/1/2019,44.4993,-123.4045,881383.28
Coos,1/1/2019,43.1398,-124.0606,932656.81
Yamhill,1/1/2019,45.2547,-123.2325,1068347.86
Lincoln,1/1/2019,44.661,-123.8306,1123015
Linn,1/1/2019,44.4967,-122.5258,1257982.23
Jackson,1/1/2019,42.5019,-122.7562,2512295.8
Baker,1/1/2019,44.6697,-117.7972,2930655.94
Clackamas,1/1/2019,45.1741,-122.2447,2957447.25
Deschutes,1/1/2019,44.0035,-121.4056,3172528.41
Marion,1/1/2019,44.9852,-122.8053,3773580.46
Lane,1/1/2019,43.8651,-122.7483,5291258.97
Washington,1/1/2019,45.5492,-123.104,5958013.56
Multnomah,1/1/2019,45.5805,-122.6646,15716045.73
Grant,2/1/2019,44.4798,-119.009,55416.1
Lake,2/1/2019,42.8178,-120.6468,83152.36
Harney,2/1/2019,43.0263,-119.0802,89555.69
Klamath,2/1/2019,42.8067,-121.8166,103276.6
Jefferson,2/1/2019,44.6083,-121.0936,251719.12
Wasco,2/1/2019,45.2651,-121.2515,317506.48
Hood River,2/1/2019,45.4923,-121.6721,318563.05
Tillamook,2/1/2019,45.415,-123.6996,470762.08
Polk,2/1/2019,44.8981,-123.4282,532574.88
Columbia,2/1/2019,45.9577,-123.0865,629225.39
Curry,2/1/2019,42.4773,-124.2135,708047.81
Josephine,2/1/2019,42.3912,-123.6336,734337.66
Umatilla,2/1/2019,45.5072,-118.6314,744279.65
Clatsop,2/1/2019,46.0053,-123.6441,792885.54
Benton,2/1/2019,44.4993,-123.4045,828430.76
Douglas,2/1/2019,43.324,-122.8891,867982.39
Coos,2/1/2019,43.1398,-124.0606,927820.51
Yamhill,2/1/2019,45.2547,-123.2325,1046906.47
Lincoln,2/1/2019,44.661,-123.8306,1084522.37
Linn,2/1/2019,44.4967,-122.5258,1238152.5
Jackson,2/1/2019,42.5019,-122.7562,2466496.77
Baker,2/1/2019,44.6697,-117.7972,2789147.42
Clackamas,2/1/2019,45.1741,-122.2447,2845443.11
Deschutes,2/1/2019,44.0035,-121.4056,2971858.11
Marion,2/1/2019,44.9852,-122.8053,3862454.26
Lane,2/1/2019,43.8651,-122.7483,5088825.09
Washington,2/1/2019,45.5492,-123.104,5772556.82
Multnomah,2/1/2019,45.5805,-122.6646,15151990.67
Grant,3/1/2019,44.4798,-119.009,67476.42
Lake,3/1/2019,42.8178,-120.6468,102651.19
Harney,3/1/2019,43.0263,-119.0802,121031.35
Klamath,3/1/2019,42.8067,-121.8166,204780.15
Jefferson,3/1/2019,44.6083,-121.0936,300824.47
Wasco,3/1/2019,45.2651,-121.2515,375747.87
Hood River,3/1/2019,45.4923,-121.6721,384987.97
Tillamook,3/1/2019,45.415,-123.6996,591247.54
Polk,3/1/2019,44.8981,-123.4282,618570.91
Columbia,3/1/2019,45.9577,-123.0865,722030.79
Curry,3/1/2019,42.4773,-124.2135,848585.37
Benton,3/1/2019,44.4993,-123.4045,930328.11
Josephine,3/1/2019,42.3912,-123.6336,931451.54
Clatsop,3/1/2019,46.0053,-123.6441,991210.74
Umatilla,3/1/2019,45.5072,-118.6314,998970.93
Coos,3/1/2019,43.1398,-124.0606,1071452.24
Douglas,3/1/2019,43.324,-122.8891,1089652.71
Yamhill,3/1/2019,45.2547,-123.2325,1218836.73
Lincoln,3/1/2019,44.661,-123.8306,1393039.6
Linn,3/1/2019,44.4967,-122.5258,1430640.34
Jackson,3/1/2019,42.5019,-122.7562,3049153.43
Clackamas,3/1/2019,45.1741,-122.2447,3246886.24
Baker,3/1/2019,44.6697,-117.7972,3445352.91
Deschutes,3/1/2019,44.0035,-121.4056,3446649.03
Marion,3/1/2019,44.9852,-122.8053,4402450.23
Lane,3/1/2019,43.8651,-122.7483,6173614.63
Washington,3/1/2019,45.5492,-123.104,6451126.6
Multnomah,3/1/2019,45.5805,-122.6646,17511064.89
Union,4/1/2019,45.401,-118.046,3384.76
Grant,4/1/2019,44.4798,-119.009,67298.35
